product_id,category,price_tier,brand
PROD001,Electronics,Luxury (500+),Panasonic
PROD002,Food & Beverage,Premium (250-500),LG
PROD003,Apparel,Economy (50-100),H&M
PROD004,Home & Garden,Mid-range (100-250),Sony
PROD005,Sports Equipment,Premium (250-500),Heinz
PROD006,Electronics,Budget (0-50),Siemens
PROD007,Food & Beverage,Luxury (500+),Philips
PROD008,Apparel,Premium (250-500),Panasonic
PROD009,Home & Garden,Premium (250-500),Nestlé
PROD010,Sports Equipment,Budget (0-50),Nike
PROD011,Electronics,Luxury (500+),3M
PROD012,Food & Beverage,Economy (50-100),Sony
PROD013,Apparel,Economy (50-100),Nestlé
PROD014,Home & Garden,Budget (0-50),Sony
PROD015,Sports Equipment,Budget (0-50),Apple
PROD016,Electronics,Economy (50-100),P&G
PROD017,Food & Beverage,Premium (250-500),Adidas
PROD018,Apparel,Mid-range (100-250),Apple
PROD019,Home & Garden,Premium (250-500),Philips
PROD020,Sports Equipment,Luxury (500+),Puma
PROD021,Electronics,Luxury (500+),3M
PROD022,Food & Beverage,Luxury (500+),Heinz
PROD023,Apparel,Economy (50-100),IKEA
PROD024,Home & Garden,Premium (250-500),Unilever
PROD025,Sports Equipment,Budget (0-50),Bosch
PROD026,Electronics,Mid-range (100-250),Sony
PROD027,Food & Beverage,Budget (0-50),Zara
PROD028,Apparel,Luxury (500+),Nike
PROD029,Home & Garden,Budget (0-50),Nestlé
PROD030,Sports Equipment,Luxury (500+),Puma
PROD031,Electronics,Mid-range (100-250),Zara
PROD032,Food & Beverage,Economy (50-100),P&G
PROD033,Apparel,Budget (0-50),Siemens
PROD034,Home & Garden,Premium (250-500),Unilever
PROD035,Sports Equipment,Mid-range (100-250),Adidas
PROD036,Electronics,Mid-range (100-250),Philips
PROD037,Food & Beverage,Luxury (500+),H&M
PROD038,Apparel,Mid-range (100-250),Siemens
PROD039,Home & Garden,Budget (0-50),Apple
PROD040,Sports Equipment,Premium (250-500),IKEA
PROD041,Electronics,Premium (250-500),P&G
PROD042,Food & Beverage,Premium (250-500),3M
PROD043,Apparel,Mid-range (100-250),H&M
PROD044,Home & Garden,Budget (0-50),Apple
PROD045,Sports Equipment,Economy (50-100),H&M
PROD046,Electronics,Premium (250-500),Zara
PROD047,Food & Beverage,Mid-range (100-250),Nestlé
PROD048,Apparel,Premium (250-500),Colgate
PROD049,Home & Garden,Luxury (500+),3M
PROD050,Sports Equipment,Economy (50-100),Unilever
PROD051,Electronics,Budget (0-50),P&G
PROD052,Food & Beverage,Budget (0-50),Nike
PROD053,Apparel,Luxury (500+),3M
PROD054,Home & Garden,Luxury (500+),Siemens
PROD055,Sports Equipment,Economy (50-100),Nestlé
PROD056,Electronics,Mid-range (100-250),3M
PROD057,Food & Beverage,Budget (0-50),Nike
PROD058,Apparel,Luxury (500+),Bosch
PROD059,Home & Garden,Luxury (500+),Adidas
PROD060,Sports Equipment,Premium (250-500),Unilever
PROD061,Electronics,Economy (50-100),IKEA
PROD062,Food & Beverage,Premium (250-500),Nike
PROD063,Apparel,Mid-range (100-250),IKEA
PROD064,Home & Garden,Economy (50-100),Philips
PROD065,Sports Equipment,Economy (50-100),3M
PROD066,Electronics,Economy (50-100),Apple
PROD067,Food & Beverage,Luxury (500+),Adidas
PROD068,Apparel,Premium (250-500),Adidas
PROD069,Home & Garden,Mid-range (100-250),Apple
PROD070,Sports Equipment,Luxury (500+),Zara
PROD071,Electronics,Luxury (500+),Zara
PROD072,Food & Beverage,Budget (0-50),P&G
PROD073,Apparel,Premium (250-500),Apple
PROD074,Home & Garden,Budget (0-50),IKEA
PROD075,Sports Equipment,Mid-range (100-250),Puma
PROD076,Electronics,Mid-range (100-250),Zara
PROD077,Food & Beverage,Mid-range (100-250),Heinz
PROD078,Apparel,Economy (50-100),Adidas
PROD079,Home & Garden,Budget (0-50),Puma
PROD080,Sports Equipment,Luxury (500+),Sony
PROD081,Electronics,Mid-range (100-250),Puma
PROD082,Food & Beverage,Mid-range (100-250),IKEA
PROD083,Apparel,Mid-range (100-250),Bosch
PROD084,Home & Garden,Premium (250-500),Nestlé
PROD085,Sports Equipment,Budget (0-50),Colgate
PROD086,Electronics,Mid-range (100-250),Bosch
PROD087,Food & Beverage,Premium (250-500),Samsung
PROD088,Apparel,Luxury (500+),Heinz
PROD089,Home & Garden,Economy (50-100),Apple
PROD090,Sports Equipment,Budget (0-50),3M
PROD091,Electronics,Luxury (500+),Adidas
PROD092,Food & Beverage,Economy (50-100),Adidas
PROD093,Apparel,Economy (50-100),LG
PROD094,Home & Garden,Mid-range (100-250),Apple
PROD095,Sports Equipment,Premium (250-500),Panasonic
PROD096,Electronics,Budget (0-50),Nike
PROD097,Food & Beverage,Luxury (500+),Samsung
PROD098,Apparel,Budget (0-50),Heinz
PROD099,Home & Garden,Budget (0-50),LG
PROD100,Sports Equipment,Budget (0-50),Unilever
