product_id,category,price_tier_eur,brand
PROD001,Electronics,Luxury (455+),Panasonic
PROD002,Food & Beverage,Premium (228-455),LG
PROD003,Apparel,Economy (45-91),H&M
PROD004,Home & Garden,Mid-range (91-228),Sony
PROD005,Sports Equipment,Premium (228-455),Heinz
PROD006,Electronics,Budget (0-45),Siemens
PROD007,Food & Beverage,Luxury (455+),Philips
PROD008,Apparel,Premium (228-455),Panasonic
PROD009,Home & Garden,Premium (228-455),Nestlé
PROD010,Sports Equipment,Budget (0-45),Nike
PROD011,Electronics,Luxury (455+),3M
PROD012,Food & Beverage,Economy (45-91),Sony
PROD013,Apparel,Economy (45-91),Nestlé
PROD014,Home & Garden,Budget (0-45),Sony
PROD015,Sports Equipment,Budget (0-45),Apple
PROD016,Electronics,Economy (45-91),P&G
PROD017,Food & Beverage,Premium (228-455),Adidas
PROD018,Apparel,Mid-range (91-228),Apple
PROD019,Home & Garden,Premium (228-455),Philips
PROD020,Sports Equipment,Luxury (455+),Puma
PROD021,Electronics,Luxury (455+),3M
PROD022,Food & Beverage,Luxury (455+),Heinz
PROD023,Apparel,Economy (45-91),IKEA
PROD024,Home & Garden,Premium (228-455),Unilever
PROD025,Sports Equipment,Budget (0-45),Bosch
PROD026,Electronics,Mid-range (91-228),Sony
PROD027,Food & Beverage,Budget (0-45),Zara
PROD028,Apparel,Luxury (455+),Nike
PROD029,Home & Garden,Budget (0-45),Nestlé
PROD030,Sports Equipment,Luxury (455+),Puma
PROD031,Electronics,Mid-range (91-228),Zara
PROD032,Food & Beverage,Economy (45-91),P&G
PROD033,Apparel,Budget (0-45),Siemens
PROD034,Home & Garden,Premium (228-455),Unilever
PROD035,Sports Equipment,Mid-range (91-228),Adidas
PROD036,Electronics,Mid-range (91-228),Philips
PROD037,Food & Beverage,Luxury (455+),H&M
PROD038,Apparel,Mid-range (91-228),Siemens
PROD039,Home & Garden,Budget (0-45),Apple
PROD040,Sports Equipment,Premium (228-455),IKEA
PROD041,Electronics,Premium (228-455),P&G
PROD042,Food & Beverage,Premium (228-455),3M
PROD043,Apparel,Mid-range (91-228),H&M
PROD044,Home & Garden,Budget (0-45),Apple
PROD045,Sports Equipment,Economy (45-91),H&M
PROD046,Electronics,Premium (228-455),Zara
PROD047,Food & Beverage,Mid-range (91-228),Nestlé
PROD048,Apparel,Premium (228-455),Colgate
PROD049,Home & Garden,Luxury (455+),3M
PROD050,Sports Equipment,Economy (45-91),Unilever
PROD051,Electronics,Budget (0-45),P&G
PROD052,Food & Beverage,Budget (0-45),Nike
PROD053,Apparel,Luxury (455+),3M
PROD054,Home & Garden,Luxury (455+),Siemens
PROD055,Sports Equipment,Economy (45-91),Nestlé
PROD056,Electronics,Mid-range (91-228),3M
PROD057,Food & Beverage,Budget (0-45),Nike
PROD058,Apparel,Luxury (455+),Bosch
PROD059,Home & Garden,Luxury (455+),Adidas
PROD060,Sports Equipment,Premium (228-455),Unilever
PROD061,Electronics,Economy (45-91),IKEA
PROD062,Food & Beverage,Premium (228-455),Nike
PROD063,Apparel,Mid-range (91-228),IKEA
PROD064,Home & Garden,Economy (45-91),Philips
PROD065,Sports Equipment,Economy (45-91),3M
PROD066,Electronics,Economy (45-91),Apple
PROD067,Food & Beverage,Luxury (455+),Adidas
PROD068,Apparel,Premium (228-455),Adidas
PROD069,Home & Garden,Mid-range (91-228),Apple
PROD070,Sports Equipment,Luxury (455+),Zara
PROD071,Electronics,Luxury (455+),Zara
PROD072,Food & Beverage,Budget (0-45),P&G
PROD073,Apparel,Premium (228-455),Apple
PROD074,Home & Garden,Budget (0-45),IKEA
PROD075,Sports Equipment,Mid-range (91-228),Puma
PROD076,Electronics,Mid-range (91-228),Zara
PROD077,Food & Beverage,Mid-range (91-228),Heinz
PROD078,Apparel,Economy (45-91),Adidas
PROD079,Home & Garden,Budget (0-45),Puma
PROD080,Sports Equipment,Luxury (455+),Sony
PROD081,Electronics,Mid-range (91-228),Puma
PROD082,Food & Beverage,Mid-range (91-228),IKEA
PROD083,Apparel,Mid-range (91-228),Bosch
PROD084,Home & Garden,Premium (228-455),Nestlé
PROD085,Sports Equipment,Budget (0-45),Colgate
PROD086,Electronics,Mid-range (91-228),Bosch
PROD087,Food & Beverage,Premium (228-455),Samsung
PROD088,Apparel,Luxury (455+),Heinz
PROD089,Home & Garden,Economy (45-91),Apple
PROD090,Sports Equipment,Budget (0-45),3M
PROD091,Electronics,Luxury (455+),Adidas
PROD092,Food & Beverage,Economy (45-91),Adidas
PROD093,Apparel,Economy (45-91),LG
PROD094,Home & Garden,Mid-range (91-228),Apple
PROD095,Sports Equipment,Premium (228-455),Panasonic
PROD096,Electronics,Budget (0-45),Nike
PROD097,Food & Beverage,Luxury (455+),Samsung
PROD098,Apparel,Budget (0-45),Heinz
PROD099,Home & Garden,Budget (0-45),LG
PROD100,Sports Equipment,Budget (0-45),Unilever
PROD101,Electronics,Premium (228-455),LG
PROD102,Food & Beverage,Economy (45-91),Sony
PROD103,Apparel,Mid-range (91-228),LG
PROD104,Home & Garden,Premium (228-455),Zara
PROD105,Sports Equipment,Mid-range (91-228),Siemens
PROD106,Electronics,Budget (0-45),IKEA
PROD107,Food & Beverage,Premium (228-455),LG
PROD108,Apparel,Economy (45-91),Heinz
